City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Pringsewu,ID,2022-01-08 22:17:17,-5.3582,104.9744,23.53,97,100,0.55
266,San Patricio,US,2022-01-08 22:17:18,28.017,-97.5169,20.23,63,95,5.2
267,Argayash,RU,2022-01-08 22:17:18,55.4888,60.8767,-7.17,81,84,9.17
268,Upernavik,GL,2022-01-08 22:17:19,72.7868,-56.1549,-12.36,94,100,1.89
269,Nyurba,RU,2022-01-08 22:17:19,63.2842,118.3319,-37.82,99,29,2.07
270,Konevo,RU,2022-01-08 22:17:20,62.1215,39.3192,-19.75,100,97,2.18
271,Polis,CY,2022-01-08 22:17:20,35.0367,32.4264,11.9,86,34,2.22
272,Lazaro Cardenas,MX,2022-01-08 22:17:20,17.9583,-102.2,27.72,57,64,4.0
273,Sao Miguel Do Araguaia,BR,2022-01-08 22:13:05,-13.275,-50.1628,21.92,98,100,5.2
274,Asau,RO,2022-01-08 22:17:21,46.4333,26.4,2.44,98,100,1.47
275,Katherine,AU,2022-01-08 22:18:22,-14.4667,132.2667,28.18,69,76,2.57
276,Iqaluit,CA,2022-01-08 22:18:23,63.7506,-68.5145,-29.06,75,20,1.03
277,Cabo San Lucas,MX,2022-01-08 22:14:18,22.8909,-109.9124,28.12,62,0,3.58
278,Petrila,RO,2022-01-08 22:18:23,45.45,23.4167,-0.43,97,96,1.67
279,Tabou,CI,2022-01-08 22:18:24,4.423,-7.3528,26.74,82,43,3.71
280,Nantucket,US,2022-01-08 22:13:48,41.2835,-70.0995,-1.69,63,0,1.54
281,Matara,LK,2022-01-08 22:18:24,5.9485,80.5353,23.37,92,100,2.59
282,Sur,OM,2022-01-08 22:18:24,22.5667,59.5289,19.75,52,0,2.41
283,Santo Angelo,BR,2022-01-08 22:18:25,-28.2992,-54.2631,29.18,42,0,3.09
284,Lorengau,PG,2022-01-08 22:18:25,-2.0226,147.2712,27.84,72,100,4.06
285,Basco,PH,2022-01-08 22:18:26,20.4487,121.9702,22.83,80,85,7.47
286,Funtua,NG,2022-01-08 22:18:26,11.5233,7.3081,20.94,26,5,3.31
287,Kapoeta,SS,2022-01-08 22:18:27,4.7717,33.5903,28.53,34,14,3.88
288,Sao Felix Do Xingu,BR,2022-01-08 22:18:27,-6.6447,-51.995,21.95,100,100,0.51
289,Flinders,AU,2022-01-08 22:18:28,-34.5833,150.8552,22.88,87,95,1.79
290,Grindavik,IS,2022-01-08 22:18:28,63.8424,-22.4338,3.26,81,0,3.6
291,Pandan Niog,PH,2022-01-08 22:18:28,6.2282,120.5631,27.13,79,69,4.67
